tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_width,layer_sal,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area
svg/g/circle_616,0.125,0.7071067811865476,0.9314269915162114,0.7527266329282903,0.33603238866396756,0.48431372549019613,0.3,0.15,0.0,0.0,0.3,0.2383638928067701,0.23693732812273846,0.25141120277898393,1.0826330532212884,1.1176470588235292,0.24417426545086118,1.1001400560224088,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_615,0.125,0.7071067811865476,0.9314269915162114,0.7527266329282903,0.33603238866396756,0.48431372549019613,0.3,0.15,0.0,0.0,0.3,0.23801128349788434,0.23693732812273846,0.25141120277898393,1.1260504201680672,1.1610644257703082,0.24417426545086118,1.1435574229691876,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_614,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.23765867418899858,0.2548849326964828,0.26935880735272827,0.9527310924369748,0.9877450980392157,0.2621218700246056,0.9702380952380952,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_613,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.23730606488011283,0.2548849326964828,0.26935880735272827,0.9961484593837534,1.0311624649859943,0.2621218700246056,1.013655462184874,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_612,0.125,0.7071067811865476,0.9022407438911175,0.7969888616664275,0.9502487562189051,0.6058823529411764,0.3,0.15,0.0,0.0,0.3,0.23695345557122707,0.2548849326964828,0.26935880735272827,1.039565826330532,1.0745798319327728,0.2621218700246056,1.0570728291316525,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_611,0.125,0.7071067811865476,0.9314269915162114,0.7527266329282903,0.33603238866396756,0.48431372549019613,0.3,0.15,0.0,0.0,0.3,0.23660084626234132,0.2548849326964828,0.26935880735272827,1.0826330532212884,1.1176470588235292,0.2621218700246056,1.1001400560224088,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_610,0.125,0.7071067811865476,0.9314269915162114,0.7527266329282903,0.33603238866396756,0.48431372549019613,0.3,0.15,0.0,0.0,0.3,0.23624823695345556,0.2548849326964828,0.26935880735272827,1.1260504201680672,1.1610644257703082,0.2621218700246056,1.1435574229691876,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_609,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.2358956276445698,0.2728325372702272,0.2873064119264727,0.9527310924369748,0.9877450980392157,0.28006947459834997,0.9702380952380952,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_608,0.125,0.7071067811865476,0.11849808281423613,0.1768030210791156,1.0,0.5647058823529413,0.3,0.15,0.0,0.0,0.3,0.23554301833568406,0.2728325372702272,0.2873064119264727,0.9961484593837534,1.0311624649859943,0.28006947459834997,1.013655462184874,0.014473874656245465,0.0350140056022409,0.3582672447212817
svg/g/circle_607,0.125,0.7071067811865476,0.9022407438911175,0.7969888616664275,0.9502487562189051,0.6058823529411764,0.3,0.15,0.0,0.0,0.3,0.2351904090267983,0.2728325372702272,0.2873064119264727,1.039565826330532,1.0745798319327728,0.28006947459834997,1.0570728291316525,0.014473874656245465,0.0350140056022409,0.3582672447212817
